X,Y,N�,DREN,CODE ETA,ETABLISSEM,COMMUNE,QUARTIER,LATITUDE,LONGITUDE,NATURE ETA,EFFECTIF T,icon_url
0,0,"513",ABIDJAN 3,"36086",INSTITUT DE FORMATION PROFESSIONNELLE AZING IVOIR YOPOUGON,YOPOUGON,,,,TECHNIQUE,"77",./0.png
-4.0909,5.3325,"514",ABIDJAN 3,"875125",INSTITUT DE FORMATION PROFESSIONNELLE ENIC YOPOUGON,YOPOUGON,NIANGON BASE CIE,5.332500000000000,-4.090900000000000,TECHNIQUE,"44",./0.png
0,0,"515",ABIDJAN 3,"875157",INSTITUT DE FORMATION PROFESSIONNELLE ESTHER (IFOPE) YOPOUGON,YOPOUGON,,,,TECHNIQUE,"6",./0.png
0,0,"516",ABIDJAN 3,"875127","INSTITUT DE MANAGEMENT, DE GESTION ET DE L�HOTELLERIE (IMGH)   (EX�- IACH) YOPOUGON",YOPOUGON,,,,TECHNIQUE,"64",./0.png
0,0,"517",ABIDJAN 3,"36094",INSTITUT D'ENSEIGNEMENT TECHNIQUE SAINT CYR YOPOUGON,YOPOUGON,,,,TECHNIQUE,"19",./0.png
0,0,"518",ABIDJAN 3,"875129",INSTITUT GENERAL D�ENSEIGNEMENT SECONDAIRE ET TECHNIQUE (IGEST) YOPOUGON,YOPOUGON,,,,TECHNIQUE,"18",./0.png
-4.1031,5.3448,"519",ABIDJAN 3,"21376",INSTITUT INTERNATIONAL ADJELEBA (2IA) YOPOUGON,YOPOUGON,ANNANERAIE,5.344800000000000,-4.103100000000000,TECHNIQUE,"77",./0.png
0,0,"520",ABIDJAN 3,"36099",INSTITUT INTERNATIONAL DE FORMATION TECHNIQUE (IIFORT) YOPOUGON WASSAKARA,YOPOUGON,,,,TECHNIQUE,"22",./0.png
0,0,"521",ABIDJAN 3,"36100",INSTITUT INTERNATIONAL DES SPECIALITES (2.I.S) YOPOUGON,YOPOUGON,,,,TECHNIQUE,"20",./0.png
-4.1011,5.3563,"522",ABIDJAN 3,"10432",INSTITUT LKM YOPOUGON,YOPOUGON,ANNANERAIE,5.356300000000000,-4.101100000000000,TECHNIQUE,"276",./0.png
-4.088,5.3468,"523",ABIDJAN 3,"875133",INSTITUT MODERNE D�ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL (IMETP) YOPOUGON,YOPOUGON,PORT BOUET II,5.346800000000000,-4.088000000000000,TECHNIQUE,"39",./0.png
0,0,"524",ABIDJAN 3,"59070",INSTITUT POLYTECHNIQUE  GLORIS (IPG) YOPOUGON,YOPOUGON,,,,TECHNIQUE,"15",./0.png
0,0,"525",ABIDJAN 3,"36111",INSTITUT SECONDAIRE TECHNIQUE LES ANGES -ISTA (EX GS LES ANGES) YOPOUGON,YOPOUGON,,,,TECHNIQUE,"73",./0.png
-4.0508,5.3273,"526",ABIDJAN 3,"875013",INSTITUT SUPERIEUR DE TECHNOLOGIES APPLIQUEES ET COMMERCIALES (INSTAC) YOPOUGON,YOPOUGON,TOIT ROUGE,5.327300000000000,-4.050800000000000,TECHNIQUE,"110",./0.png
0,0,"527",ABIDJAN 3,"301",INSTITUT SUPERIEUR SECONDAIRE TECHNIQUE ET GENERAL (ISTG) PIERRE MARIE YOPOUGON,YOPOUGON,,,,TECHNIQUE,"89",./0.png
0,0,"528",ABIDJAN 3,"190042",INSTITUT TECHNIQUE DES SCIENCES APPLIQUEES ET DU TERTIAIRE (ITSAT) YOPOUGON,YOPOUGON,,,,TECHNIQUE,"9",./0.png
-4.089,5.3558,"529",ABIDJAN 3,"37105",INSTITUT TECHNIQUE ET PROFESSIONNEL(ITP) CERIN YOPOUGON,YOPOUGON,ANNANERAIE,5.355800000000000,-4.089000000000000,TECHNIQUE,"201",./0.png
0,0,"530",ABIDJAN 3,"58147",ONYX-EXCELLENCE YOPOUGON,YOPOUGON GARE,,,,TECHNIQUE,"191",./0.png
-4.0441,5.3211,"531",ABIDJAN 3,"875059",UNIX ACADEMIE YOPOUGON,YOPOUGON,YOPOUGON KOWEIT,5.321100000000000,-4.044100000000000,TECHNIQUE,"88",./0.png
0,0,"532",ABIDJAN 4,"10655",COLLEGE MODERNE ET TECHNIQUE NOGOLAMA ANYAMA,ANYAMA,,,,TECHNIQUE,"16",./0.png
-3.9988,5.3928,"533",ABIDJAN 4,"10149",COLLEGE TECHNIQUE SAINT BRICE PROVINCIAL GRACES ABOBO PLATEAU DOKUI,ABOBO,PLATEAU DOKUI,5.392800000000000,-3.998800000000000,TECHNIQUE,"72",./0.png
-3.0567,5.4458,"534",ABIDJAN 4,"190110",CTP BOH VALENTIN ABOBO,ABOBO,PK 18,5.445800000000000,-3.056700000000000,TECHNIQUE,"148",./0.png
-4.0201,5.4369,"535",ABIDJAN 4,"56645",INSTITUT ADAM MARSHALL - ABOBO (IAM),ABOBO,SOGEFHIA,5.436900000000000,-4.020100000000000,TECHNIQUE,"106",./0.png
0,0,"536",ABIDJAN 4,"875025",INSTITUT DE COMMERCE ET DE FINANCES (ISCF) ABOBO PLATEAU DOKUI,ABOBO,,,,TECHNIQUE,"34",./0.png
-4.0586,5.4492,"537",ABIDJAN 4,"36080",INSTITUT D�ENSEIGNEMENT SECONDAIRE TECHNIQUE SAINTE BRIGITTE 1 ABOBO,ABOBO,PK 18 AGUETO,5.449200000000000,-4.058600000000000,TECHNIQUE,"17",./0.png
-4.0295,5.4322,"538",ABIDJAN 4,"11426",INSTITUT SAINT ANTOINE (ISA) ABOBO,ABOBO,SAGBE NORD,5.432200000000000,-4.029500000000000,TECHNIQUE,"96",./0.png
-3.9986,5.4032,"539",ABIDJAN 4,"36110",INSTITUT SECONDAIRE TECHNIQUE ADAMA SANOGO (ISTAS) ABOBO PLATEAU DOKUI,ABOBO,ABOBO TE,5.403200000000000,-3.998600000000000,TECHNIQUE,"490",./0.png
0,0,"540",ABIDJAN 4,"875070",INSTITUT SECONDAIRE TECHNIQUE ASSAMELA (ISTA) ABOBO,ABOBO,,,,TECHNIQUE,"98",./0.png
-3.9974,5.3983,"541",ABIDJAN 4,"248",LYCEE MODERNE TECHNIQUE LE MAHOU ABOBO,ABOBO,"PLATEAU DOKUI, MAHOU",5.398300000000000,-3.997400000000000,TECHNIQUE,"110",./0.png
0,0,"542",ABIDJAN 3,"36026",COLLEGE TECHNIQUE SAINTE SOLANGE YOPOUGON,YOPOUGON,,,,TECHNIQUE,"50",./0.png
0,0,"543",ABIDJAN 4,"197336",COLLEGE PRIVE TECHNIQUE IETPA D'ABOBO,ABOBO - AVOCATIER,,,,TECHNIQUE,"62",./0.png
-4.0473,5.4422,"544",ABIDJAN 4,"58148",COLLEGE PRIVE TECHNIQUE IFSM DE ABOBO,ABOBO,ABOBO AVOCATIER,5.442200000000000,-4.047300000000000,TECHNIQUE,"24",./0.png
0,0,"545",ABIDJAN 4,"197327",COLLEGE PRIVE TECHNIQUE LA PERRUCHE D'ANYAMA,ANYAMA - ZONSSONKOI,,,,TECHNIQUE,"102",./0.png
0,0,"546",ABIDJAN 4,"9970",COLLEGE SAINT EDER ABOBO,ABOBO,,,,TECHNIQUE,"29",./0.png
